Key,En,Ru
41300005,Mysterious Code
41400034,Elegy Tacet Core
41400064,Gold-Dissolving Feather
41400084,"Group Abomination Tacet Core
"
41400134,Hidden Thunder Tacet Core
41400044,Rage Tacet Core
41400054,Roaring Rock Fist
41400074,Sound-Keeping Tacet Core,
41400014,Strife Tacet Core
41400024,Thundering Tacet Core,
42300070,Belle Poppy
42300080,Coriolus
42300030,Iris
42300050,Lanternberry
42300120,Pavo Plum,
42300060,Pecok Flower
42300040,Terraspawn Fungus
42300100,Violet Coral
42300090,Wintry Bell
